game_id,score,blinky_kill,clyde_kill,inky_kill,playtime
19618006,1550,0,0,1,60.81
53633270,60,1,0,0,1.17
15479479,330,1,0,0,4.29
78416960,1630,0,0,1,72.96
26409319,90,1,0,0,5.19
85432597,90,1,0,0,3.94
19525899,730,1,0,0,13.19
95157017,250,1,0,0,4.91
4235176,330,1,0,0,4.28
60771352,90,1,0,0,8.82
86362421,120,1,0,0,2.44
55992695,250,1,0,0,4.94
43754048,80,1,0,0,0.91
97314974,570,1,0,0,10.36
97861543,90,1,0,0,2.35
58147658,330,1,0,0,4.31
50388185,100,1,0,0,1.92
10315385,80,1,0,0,0.91
1069160,1280,0,0,1,60.51
